S.No.,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
62,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2021,58000,Petrol,Automatic,First,11.74 kmpl,1796 CC,186 bhp,5.0,,26.7
63,Mercedes-Benz New C-Class 200 CDI Classic,Pune,2017,65000,Diesel,Manual,Second,15.8 kmpl,2148 CC,170 bhp,5.0,,10.0
64,Tata Indica V2 eLS,Chennai,2022,178000,Diesel,Manual,First,25.0 kmpl,1396 CC,69 bhp,5.0,,2.5
65,Audi A4 2.0 TDI Multitronic,Jaipur,2018,65664,Diesel,Automatic,First,16.55 kmpl,1968 CC,140 bhp,5.0,,13.5
66,Honda City ZX CVT,Mumbai,2013,63000,Petrol,Automatic,Second,16.4 kmpl,1497 CC,78 bhp,5.0,,1.85
67,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2025,15369,Diesel,Automatic,First,0.0 kmpl,1950 CC,194 bhp,5.0,49.14 Lakh,35.67
68,Maruti Ertiga SHVS VDI,Pune,2022,63000,Diesel,Manual,First,24.52 kmpl,1248 CC,88.5 bhp,7.0,,8.15
69,Hyundai Creta 1.4 E Plus Diesel,Mumbai,2024,13000,Diesel,Manual,First,22.1 kmpl,1396 CC,88.7 bhp,5.0,11.81 Lakh,10.5
70,Porsche Cayenne 2009-2014 Turbo,Mumbai,2014,73000,Petrol,Automatic,First,8.5 kmpl,4806 CC,500 bhp,5.0,,14.5
71,Mahindra XUV500 W8 4WD,Mumbai,2021,55729,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,,9.65
72,Hyundai i10 Sportz 1.2 AT,Kochi,2018,45178,Petrol,Automatic,First,16.95 kmpl,1197 CC,78.9 bhp,5.0,,3.48
73,Nissan Terrano XV D Pre,Kochi,2021,56066,Diesel,Manual,First,19.64 kmpl,1461 CC,108.5 bhp,5.0,16.65 Lakh,6.92
74,Honda Brio VX AT,Coimbatore,2022,37300,Petrol,Automatic,Second,16.5 kmpl,1198 CC,86.8 bhp,5.0,,6.46
75,Audi A6 2.0 TDI Design Edition,Delhi,2020,56000,Diesel,Automatic,Second,18.53 kmpl,1968 CC,187.74 bhp,5.0,,29.5
76,Ford Fiesta 1.4 SXi TDCi,Jaipur,2014,111111,Diesel,Manual,First,17.8 kmpl,1399 CC,null bhp,5.0,,2.0
77,Toyota Innova 2.0 G1,Chennai,2012,230000,Petrol,Manual,Third & above,12.4 kmpl,1998 CC,132 bhp,8.0,,4.5
78,Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2018,104000,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,7.0,,11.75
79,Hyundai Santro Xing XL,Hyderabad,2011,87591,Petrol,Manual,First,0.0 kmpl,1086 CC,null bhp,5.0,,1.3
80,Maruti Swift VDI,Jaipur,2018,95100,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,,3.75
81,Tata Zest Revotron 1.2T XE,Pune,2023,70000,Petrol,Manual,First,17.57 kmpl,1193 CC,88.7 bhp,5.0,6.67 Lakh,4.5
82,Honda Amaze SX i-VTEC,Kochi,2022,54944,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,5.0,,4.82
83,Ford Figo Diesel ZXI,Hyderabad,2018,70337,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5.0,,2.8
84,Maruti Ritz VDi,Jaipur,2019,99638,Diesel,Manual,First,23.2 kmpl,1248 CC,73.94 bhp,5.0,,3.11
85,Honda City i VTEC E,Delhi,2015,52000,Petrol,Manual,First,17.8 kmpl,1497 CC,117.3 bhp,5.0,,3.25
86,BMW 5 Series 2003-2012 525d,Delhi,2017,75000,Diesel,Automatic,Second,16.73 kmpl,1995 CC,218 bhp,5.0,,13.9
87,Hyundai i10 Sportz 1.2,Pune,2015,95980,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,,2.25
88,Hyundai Grand i10 Sportz,Bangalore,2022,16000,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5.0,,5.75
89,Hyundai Santro Xing XO,Hyderabad,2013,73745,Petrol,Manual,First,17.0 kmpl,1086 CC,null bhp,5.0,,2.1
90,Honda Amaze SX i-VTEC,Mumbai,2022,18949,Petrol,Manual,First,17.8 kmpl,1198 CC,86.7 bhp,5.0,,5.0
91,Toyota Fortuner 4x2 Manual,Delhi,2020,107000,Diesel,Manual,First,13.0 kmpl,2982 CC,168.5 bhp,7.0,,16.5
92,Audi A6 2011-2015 35 TDI Premium,Coimbatore,2024,48367,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5.0,,39.58
93,Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2019,57000,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,,5.5
94,Mahindra XUV500 W8 2WD,Delhi,2020,58000,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,,8.1
95,Honda Amaze SX i-DTEC,Kolkata,2021,30000,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,,3.5
96,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2019,34212,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,,2.79
97,Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2016,70002,Diesel,Manual,First,16.2 kmpl,1493 CC,110 bhp,5.0,,3.45
98,Maruti Wagon R VXI BS IV,Bangalore,2022,62000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5.0,,4.45
99,Volkswagen Polo Petrol Highline 1.6L,Delhi,2016,62001,Petrol,Manual,First,15.26 kmpl,1598 CC,103.5 bhp,5.0,,2.65
100,Hyundai i20 1.4 CRDi Sportz,Pune,2017,78958,Diesel,Manual,Second,23.0 kmpl,1396 CC,90 bhp,5.0,,3.8
101,Hyundai i20 Asta 1.2,Mumbai,2020,30180,Petrol,Manual,First,18.5 kmpl,1197 CC,82.85 bhp,5.0,,4.65
102,Datsun GO Plus T Petrol,Pune,2023,32851,Petrol,Manual,First,19.83 kmpl,1198 CC,67 bhp,7.0,6.45 Lakh,3.95
103,Audi A4 3.0 TDI Quattro Premium,Kolkata,2016,30000,Diesel,Automatic,First,14.94 kmpl,2967 CC,241.4 bhp,5.0,,9.8
104,Hyundai i20 2015-2017 Asta,Pune,2015,66000,Petrol,Manual,Second,17.0 kmpl,1197 CC,80 bhp,5.0,,2.7
105,Maruti Omni 5 Str STD,Coimbatore,2016,93850,Petrol,Manual,First,14.0 kmpl,796 CC,35 bhp,5.0,,2.41
106,Toyota Etios Liva 1.2 G,Ahmedabad,2020,53000,Petrol,Manual,First,17.71 kmpl,1197 CC,78.9 bhp,5.0,6.41 Lakh,3.9
107,Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2017,78000,Diesel,Automatic,Second,14.74 kmpl,2993 CC,270.9 bhp,5.0,,24.0
108,Mahindra XUV500 W8 2WD,Delhi,2018,65000,Diesel,Manual,Second,16.0 kmpl,2179 CC,140 bhp,7.0,,5.75
109,Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2020,40000,Diesel,Automatic,First,22.32 kmpl,1582 CC,126.32 bhp,5.0,,5.25
110,Toyota Innova Crysta 2.8 ZX AT,Mumbai,2023,30000,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,7.0,27 Lakh,19.25
111,Maruti Eeco 5 Seater AC,Coimbatore,2023,38053,Petrol,Manual,First,15.1 kmpl,1196 CC,73 bhp,5.0,5.13 Lakh,3.91
112,Tata Nano Twist XT,Bangalore,2020,25500,Petrol,Manual,First,25.4 kmpl,624 CC,37.5 bhp,4.0,,2.15
113,BMW 3 Series 320d Luxury Line,Mumbai,2021,56087,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,5.0,54.43 Lakh,20.75
114,Honda Civic 2006-2010 1.8 V MT,Delhi,2016,71088,Petrol,Manual,First,13.5 kmpl,1799 CC,130 bhp,5.0,,3.35
115,Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2020,55000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,7.0,,11.11
116,Volvo V40 Cross Country D3,Bangalore,2020,32700,Diesel,Automatic,First,23.3 kmpl,1984 CC,150 bhp,5.0,,20.0
117,Nissan Micra XV CVT,Coimbatore,2022,39882,Petrol,Automatic,First,19.15 kmpl,1198 CC,75.94 bhp,5.0,9.51 Lakh,6.55
118,BMW 5 Series 2010-2013 525i,Mumbai,2015,128000,Petrol,Automatic,First,10.8 kmpl,2497 CC,215 bhp,5.0,,7.0
119,Maruti Vitara Brezza VDi,Mumbai,2022,55000,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,9.96 Lakh,7.5
120,Hyundai Santro Xing XL eRLX Euro III,Mumbai,2011,102000,Petrol,Manual,Second,17.0 kmpl,1086 CC,null bhp,5.0,,0.85
121,Mercedes-Benz B Class B200 CDI,Pune,2020,53753,Diesel,Automatic,Second,15.0 kmpl,2143 CC,107.3 bhp,5.0,,16.75
122,Hyundai Verna CRDi 1.6 SX Option,Kolkata,2024,10250,Diesel,Manual,First,22.0 kmpl,1582 CC,126.2 bhp,5.0,14.44 Lakh,10.95
123,Maruti Wagon R LXI BS IV,Pune,2017,43874,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5.0,,2.45
124,Tata Nano XTA,Coimbatore,2023,32684,Petrol,Automatic,First,21.9 kmpl,624 CC,37.48 bhp,4.0,,3.23
125,Mahindra Scorpio VLX,Kolkata,2020,42000,Diesel,Manual,First,12.05 kmpl,2179 CC,120 bhp,8.0,,7.75
126,Mercedes-Benz New C-Class 200 K AT,Kolkata,2015,28352,Petrol,Automatic,First,11.7 kmpl,1796 CC,178 bhp,5.0,,9.35
127,Maruti Wagon R LXI CNG,Pune,2019,89900,CNG,Manual,First,26.6 km/kg,998 CC,58.16 bhp,5.0,,3.25
128,Honda CR-V 2.4 MT,Bangalore,2013,47700,Petrol,Manual,Second,10.8 kmpl,2354 CC,152 bhp,5.0,,5.25
129,Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2021,55000,Diesel,Automatic,First,21.21 kmpl,1498 CC,103.2 bhp,5.0,,7.25
130,Maruti Ciaz VXi Plus,Kochi,2023,44285,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5.0,,7.47
131,Mahindra XUV500 AT W10 FWD,Jaipur,2022,54000,Diesel,Automatic,First,16.0 kmpl,2179 CC,140 bhp,7.0,,13.25
132,Maruti Ritz VXI ABS,Coimbatore,2022,30232,Petrol,Manual,First,21.1 kmpl,1197 CC,85.80 bhp,5.0,,5.81
133,Maruti Alto K10 VXI,Hyderabad,2020,88500,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5.0,4.53 Lakh,2.6
134,Mercedes-Benz SLC 43 AMG,Kolkata,2023,13372,Petrol,Automatic,First,19.0 kmpl,2996 CC,362.07 bhp,2.0,95.04 Lakh,54.0
135,Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2025,12645,Petrol,Automatic,First,17.0 kmpl,1591 CC,121.3 bhp,5.0,13.49 Lakh,11.5
136,Maruti Alto LXi BSIII,Chennai,2016,94385,Petrol,Manual,Second,19.7 kmpl,796 CC,46.3 bhp,5.0,,1.6
137,BMW 1 Series 118d Base,Coimbatore,2021,31821,Diesel,Automatic,First,20.58 kmpl,1995 CC,143 bhp,5.0,,17.22
138,Honda Jazz 1.2 V CVT i VTEC,Mumbai,2021,12000,Petrol,Automatic,First,19.0 kmpl,1199 CC,88.7 bhp,5.0,,6.0
139,Honda Civic 2006-2010 1.8 V MT,Delhi,2018,88578,Petrol,Manual,First,13.5 kmpl,1799 CC,130 bhp,5.0,,3.95
140,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2020,44965,Diesel,Automatic,First,19.27 kmpl,2143 CC,170 bhp,5.0,,17.95
141,Honda Amaze SX i-DTEC,Kolkata,2020,45044,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,,3.7
142,Maruti Swift VVT VXI,Kochi,2022,34204,Petrol,Manual,First,22.0 kmpl,1197 CC,81.80 bhp,5.0,,5.43
143,Hyundai Santro Xing XO eRLX Euro II,Kochi,2014,80759,Petrol,Manual,Third & above,17.0 kmpl,1086 CC,null bhp,5.0,,1.67
144,Toyota Fortuner 3.0 Diesel,Coimbatore,2018,91235,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,7.0,,13.49
145,Chevrolet Beat LT Option,Pune,2020,38800,Petrol,Manual,First,18.6 kmpl,1199 CC,76.8 bhp,5.0,,2.85
146,Skoda Rapid 1.5 TDI Elegance,Chennai,2019,83000,Diesel,Manual,First,21.14 kmpl,1498 CC,103.52 bhp,5.0,,4.75
147,Maruti Ciaz 1.4 Alpha,Kochi,2024,41283,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5.0,,9.9
148,Audi RS5 Coupe,Mumbai,2019,23000,Petrol,Automatic,First,11.05 kmpl,2894 CC,444 bhp,4.0,1.28 Cr,37.0
149,BMW 3 Series Luxury Line,Mumbai,2020,48000,Diesel,Automatic,First,21.76 kmpl,1995 CC,190 bhp,5.0,60.88 Lakh,26.5
150,Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2021,48214,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5.0,,23.32
151,Maruti Swift VDI,Chennai,2022,35000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,,6.25
152,Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2016,35277,Petrol,Automatic,First,7.81 kmpl,5461 CC,362.9 bhp,5.0,,30.0
153,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2022,54620,Diesel,Automatic,First,21.66 kmpl,1498 CC,103.52 bhp,5.0,,9.86
154,Skoda Superb Elegance 2.0 TDI CR AT,Pune,2018,136997,Diesel,Automatic,First,17.2 kmpl,1968 CC,138.1 bhp,5.0,,8.5
155,Hyundai EON Magna Plus,Kochi,2025,14322,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5.0,,4.23
156,Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2018,65634,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,,3.5
157,Datsun GO NXT,Kolkata,2022,6000,Petrol,Manual,First,20.63 kmpl,1198 CC,67.06 bhp,5.0,,2.5
158,Honda Brio S MT,Kolkata,2019,33280,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5.0,,2.39
159,Mercedes-Benz B Class B180,Delhi,2019,29000,Petrol,Automatic,First,14.8 kmpl,1595 CC,120.7 bhp,5.0,,11.25
160,Honda City i DTEC V,Kochi,2021,42831,Diesel,Manual,First,26.0 kmpl,1498 CC,98.6 bhp,5.0,,7.11
161,Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,2022,90000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,7.0,,10.9
162,Maruti Swift VXI Optional,Ahmedabad,2023,24005,Petrol,Manual,First,20.4 kmpl,1197 CC,81.80 bhp,5.0,,6.2
163,Mahindra XUV500 W8 2WD,Mumbai,2018,32792,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,,7.9
164,Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2020,147898,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,,4.42
165,Toyota Fortuner 4x2 Manual,Mumbai,2018,131765,Diesel,Manual,First,13.0 kmpl,2982 CC,168.5 bhp,7.0,,13.5
166,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,2019,65000,Diesel,Automatic,First,21.5 kmpl,1498 CC,108.5 bhp,5.0,,6.25
167,Ford Figo Diesel Titanium,Jaipur,2016,66123,Diesel,Manual,Second,20.0 kmpl,1399 CC,68 bhp,5.0,,2.1
168,BMW X5 xDrive 30d,Mumbai,2021,41000,Diesel,Automatic,First,15.3 kmpl,2993 CC,258 bhp,5.0,,45.0
169,Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,2023,23550,Diesel,Automatic,First,19.27 kmpl,2143 CC,167.62 bhp,5.0,,33.66
170,Honda Brio V MT,Bangalore,2018,45000,Petrol,Manual,Second,19.4 kmpl,1198 CC,86.8 bhp,5.0,,3.65
171,Hyundai i10 Magna 1.2,Delhi,2019,60000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,,2.75
172,Mercedes-Benz GLC 220,Bangalore,2022,44414,Diesel,Automatic,First,17.9 kmpl,2143 CC,170 bhp,5.0,,42.5
173,Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2025,1000,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5.0,7.39 Lakh,6.5
174,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2018,62500,Diesel,Automatic,Second,17.68 kmpl,1968 CC,174.33 bhp,5.0,,19.0
175,Volkswagen Vento Petrol Highline AT,Mumbai,2019,21000,Petrol,Automatic,Second,14.4 kmpl,1598 CC,103.6 bhp,5.0,,4.45
176,Mini Countryman Cooper D,Jaipur,2023,8525,Diesel,Automatic,Second,16.6 kmpl,1998 CC,112 bhp,5.0,,23.0
177,Hyundai i20 Asta 1.4 CRDi,Bangalore,2020,29000,Diesel,Manual,First,22.54 kmpl,1396 CC,88.73 bhp,5.0,,8.35
178,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2020,40000,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5.0,,22.95
179,Chevrolet Beat Diesel LT,Jaipur,2018,88000,Diesel,Manual,First,25.44 kmpl,936 CC,57.6 bhp,5.0,,1.5
180,Skoda Superb Elegance 1.8 TSI AT,Kochi,2018,53537,Petrol,Automatic,First,13.7 kmpl,1798 CC,157.75 bhp,5.0,,6.89
181,Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,2012,216000,Diesel,Manual,Second,17.8 kmpl,1399 CC,68 bhp,5.0,,1.45
